year,title,place,duration,playtime,playage,gender_ratio,age_ratio
2023,뮤지컬 친정엄마,디큐브 링크아트센터,2023.03.28 ~2023.06.04,155분(인터미션 15분 포함),만 8세이상,"[18.3, 81.7]","[0.8, 15.2, 31.0, 29.6, 16.3]"
2023,뮤지컬 〈보이체크 인 더 다크〉,링크아트센터 벅스홀,2023.02.07 ~2023.04.30,90분,만 13세이상,"[5.5, 94.5]","[4.4, 43.1, 34.8, 15.2, 1.7]"
2023,뮤지컬 〈모차르트!〉,세종문화회관 대극장,2023.06.15 ~2023.08.22,175분(인터미션 20분 포함),8세이상 관람가능,"[14.2, 85.8]","[1.8, 33.2, 29.8, 15.0, 14.4]"
2023,뮤지컬 〈비스티〉,링크아트센터 페이코홀,2023.05.16 ~2023.08.13,120분,14세 이상 관람가,"[3.3, 96.7]","[3.1, 37.3, 39.0, 14.5, 3.3]"
2023,뮤지컬 〈트레이스 유〉,링크아트센터 벅스홀,2023.05.11 ~2023.08.20,110분,중학생이상 관람가,"[3.1, 96.9]","[2.5, 37.0, 38.4, 16.7, 3.2]"
2023,뮤지컬 〈영웅〉 - 전주,한국소리문화의전당 모악당,2023.06.16 ~2023.06.18,160분(인터미션 20분 포함),8세이상 관람가능,"[26.0, 74.0]","[3.0, 21.8, 33.6, 34.1, 6.2]"
2023,뮤지컬 〈웨이스티드〉 : 연극열전9_네 번째 작품,대학로 아트원씨어터 2관,2022.12.13 ~2023.02.26,150분(인터미션 15분 포함),14세 이상 관람가,"[5.8, 94.2]","[6.9, 46.1, 32.0, 11.7, 2.6]"
2023,뮤지컬 〈빠리빵집〉,세종문화회관 S씨어터,2023.05.13 ~2023.06.25,110분,만 7세이상,"[7.7, 92.3]","[2.0, 23.4, 32.6, 26.0, 12.6]"
2023,패밀리 서커스 〈이상한 나라의 앨리스〉 오리지널 내한공연,올림픽공원 올림픽홀,2023.05.26 ~2023.05.28,90분,전체관람가,"[24.0, 76.0]","[0.9, 10.7, 33.4, 47.9, 6.1]"
2023,뮤지컬 〈앤ANNE〉,예그린씨어터,2023.02.03 ~2023.04.09,105분,만 5세이상,"[13.0, 87.0]","[4.9, 49.2, 28.5, 14.8, 2.3]"
2023,뮤지컬 〈쿠로이 저택엔 누가 살고 있을까？〉,플러스씨어터,2023.05.02 ~2023.07.23,110분,8세이상 관람가능,"[9.8, 90.2]","[4.9, 39.0, 38.1, 12.8, 3.7]"
2023,뮤지컬 〈다이스〉,CJ아지트 대학로,2023.02.03 ~2023.03.05,110분,만 13세이상,"[4.7, 95.3]","[3.9, 44.4, 37.0, 11.1, 2.5]"
2023,뮤지컬 〈신이 나를 만들 때〉,대학로 예그린씨어터,2023.04.18 ~2023.06.11,110분,만 10세이상,"[5.5, 94.5]","[4.7, 49.5, 31.8, 11.5, 2.1]"
